cols,importance,model_name
store_宮前店,0.0,GradientBoostingClassifier
store_富岡店,0.0,GradientBoostingClassifier
store_富津店,0.0,GradientBoostingClassifier
store_富里店,0.0,GradientBoostingClassifier
store_小山店,0.0,GradientBoostingClassifier
store_小平店,0.0,GradientBoostingClassifier
store_小田原店,0.0,GradientBoostingClassifier
store_小金井店,0.0,GradientBoostingClassifier
store_川崎多摩店,0.0,GradientBoostingClassifier
store_川崎店,0.0,GradientBoostingClassifier
store_川越店,0.0,GradientBoostingClassifier
store_巣鴨店,0.0,GradientBoostingClassifier
store_市原店,0.0,GradientBoostingClassifier
store_市川店,0.0,GradientBoostingClassifier
store_平塚店,0.0,GradientBoostingClassifier
store_鶴見店,0.0,GradientBoostingClassifier
